shortboard          letter len=1880 corner: left=132.4 maxCurve=41.2 clr=91.2 -> STAYS | howTo=outboard h=46.0 top(fromTip)=58.8 bottom(fromTip)=104.8 | interior square 4mm under howTo: top(fromTip)=108.8 bottom(fromTip)=167.6 minCurveHW=67.1 required=58.8 fits=true daylightToCurve=12.3 bottomAboveFloorBy=79.1
fish                letter len=1676 corner: left=132.4 maxCurve=82.3 clr=50.1 -> STAYS | howTo=interior h=46.0 top(fromTip)=88.6 bottom(fromTip)=134.6 | interior square 4mm under howTo: top(fromTip)=138.6 bottom(fromTip)=197.4 minCurveHW=137.3 required=58.8 fits=true daylightToCurve=82.5 bottomAboveFloorBy=49.3
midlength           letter len=2134 corner: left=132.4 maxCurve=66.5 clr=65.9 -> STAYS | howTo=outboard h=46.0 top(fromTip)=58.8 bottom(fromTip)=104.8 | interior square 4mm under howTo: top(fromTip)=108.8 bottom(fromTip)=167.6 minCurveHW=99.9 required=58.8 fits=true daylightToCurve=45.1 bottomAboveFloorBy=79.1
longboard           letter len=2743 corner: left=132.4 maxCurve=124.0 clr=8.4 -> STAYS | howTo=interior h=46.0 top(fromTip)=52.6 bottom(fromTip)=98.6 | interior square 4mm under howTo: top(fromTip)=102.6 bottom(fromTip)=161.4 minCurveHW=155.6 required=58.8 fits=true daylightToCurve=100.8 bottomAboveFloorBy=85.3
widest-shortboard   letter len=1880 corner: left=132.4 maxCurve=52.3 clr=80.1 -> STAYS | howTo=outboard h=46.0 top(fromTip)=58.8 bottom(fromTip)=104.8 | interior square 4mm under howTo: top(fromTip)=108.8 bottom(fromTip)=167.6 minCurveHW=87.4 required=58.8 fits=true daylightToCurve=32.6 bottomAboveFloorBy=79.1
widest-longboard    letter len=2743 corner: left=132.4 maxCurve=138.2 clr=-5.8 -> MOVES | howTo=interior h=46.0 top(fromTip)=48.6 bottom(fromTip)=94.6 | interior square 4mm under howTo: top(fromTip)=98.6 bottom(fromTip)=157.4 minCurveHW=170.6 required=58.8 fits=true daylightToCurve=115.8 bottomAboveFloorBy=89.3
fullnose-longboard  letter len=2743 corner: left=132.4 maxCurve=134.2 clr=-1.8 -> MOVES | howTo=interior h=46.0 top(fromTip)=48.6 bottom(fromTip)=94.6 | interior square 4mm under howTo: top(fromTip)=98.6 bottom(fromTip)=157.4 minCurveHW=164.5 required=58.8 fits=true daylightToCurve=109.7 bottomAboveFloorBy=89.3
shortboard          a4     len=1880 corner: left=126.5 maxCurve=41.2 clr=85.3 -> STAYS | howTo=outboard h=46.0 top(fromTip)=58.8 bottom(fromTip)=104.8 | interior square 4mm under howTo: top(fromTip)=108.8 bottom(fromTip)=167.6 minCurveHW=67.1 required=58.8 fits=true daylightToCurve=12.3 bottomAboveFloorBy=96.7
fish                a4     len=1676 corner: left=126.5 maxCurve=82.3 clr=44.2 -> STAYS | howTo=interior h=46.0 top(fromTip)=88.6 bottom(fromTip)=134.6 | interior square 4mm under howTo: top(fromTip)=138.6 bottom(fromTip)=197.4 minCurveHW=137.3 required=58.8 fits=true daylightToCurve=82.5 bottomAboveFloorBy=66.9
midlength           a4     len=2134 corner: left=126.5 maxCurve=66.5 clr=60.0 -> STAYS | howTo=outboard h=46.0 top(fromTip)=58.8 bottom(fromTip)=104.8 | interior square 4mm under howTo: top(fromTip)=108.8 bottom(fromTip)=167.6 minCurveHW=99.9 required=58.8 fits=true daylightToCurve=45.1 bottomAboveFloorBy=96.7
longboard           a4     len=2743 corner: left=126.5 maxCurve=124.0 clr=2.5 -> STAYS | howTo=interior h=46.0 top(fromTip)=52.6 bottom(fromTip)=98.6 | interior square 4mm under howTo: top(fromTip)=102.6 bottom(fromTip)=161.4 minCurveHW=155.6 required=58.8 fits=true daylightToCurve=100.8 bottomAboveFloorBy=102.9
widest-shortboard   a4     len=1880 corner: left=126.5 maxCurve=52.3 clr=74.2 -> STAYS | howTo=outboard h=46.0 top(fromTip)=58.8 bottom(fromTip)=104.8 | interior square 4mm under howTo: top(fromTip)=108.8 bottom(fromTip)=167.6 minCurveHW=87.4 required=58.8 fits=true daylightToCurve=32.6 bottomAboveFloorBy=96.7
widest-longboard    a4     len=2743 corner: left=126.5 maxCurve=138.2 clr=-11.7 -> MOVES | howTo=interior h=46.0 top(fromTip)=48.6 bottom(fromTip)=94.6 | interior square 4mm under howTo: top(fromTip)=98.6 bottom(fromTip)=157.4 minCurveHW=170.6 required=58.8 fits=true daylightToCurve=115.8 bottomAboveFloorBy=106.9
fullnose-longboard  a4     len=2743 corner: left=126.5 maxCurve=134.2 clr=-7.7 -> MOVES | howTo=interior h=46.0 top(fromTip)=48.6 bottom(fromTip)=94.6 | interior square 4mm under howTo: top(fromTip)=98.6 bottom(fromTip)=157.4 minCurveHW=164.5 required=58.8 fits=true daylightToCurve=109.7 bottomAboveFloorBy=106.9
